Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,newcomers,prisoners in transit,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,
Moscow,provincial city,1891,February,холера,cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,цереброспин. Менингит,spotted fever,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,коклюш,whooping-cough,yes,4,4,8,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,сифилис,syphilis,,2,5,7,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Moscow,provincial city,1891,February,водобоязнь,rabies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,сибирская язва,Siberian plague / anthrax,,2,1,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,рожа,wildfire,,12,7,19,0,0,8,0,0,0,0,2,1,2,1,2,2,1,0,0,,
Moscow,provincial city,1891,February,пиэмия,pyemia,,6,3,9,1,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,,
Moscow,provincial city,1891,February,септицемия,septicaemia,,20,15,35,1,0,31,0,0,1,0,0,1,0,0,1,0,0,1,0,,
Moscow,provincial city,1891,February,малокровие и хлороз,anemia,,1,7,8,0,0,2,0,0,0,0,0,2,2,1,0,1,0,0,0,,
Moscow,provincial city,1891,February,белокровие,leukemia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,золотуха,scrofula,,4,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,английская болезнь,english disease,,8,6,14,0,0,2,3,7,2,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,острый туберкулез,tuberculosis,,4,1,5,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,,
Moscow,provincial city,1891,February,сахарное мочеизнурение,diabetes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,подагра,gout,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,ревматизм,rheumatism,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,скорбут,scurvy,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Moscow,provincial city,1891,February,верлгофова болезнь,disease vergola,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,гемофилия,hemophilia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,алкоголизм,alcoholism,,12,0,12,5,0,0,0,0,0,0,0,3,1,4,2,1,0,0,1,,
Moscow,provincial city,1891,February,рак,cancer,,20,27,47,5,0,0,0,0,0,0,0,0,9,6,15,12,4,1,0,,
